source;post_id;id;pk;text;translated_text;created_at;sender;sender_fullname;sender_profile_pic;token;target
@info.luwuk;3336523030295538484_5907861760;18016989353330869;18016989353330869;pntsan mtilampu😔;Ptsan mtimamu😔;Tue Apr 02 2024 06:46:24 GMT+0700 (Western Indonesia Time);lialiacpiw;;https://instagram.fcgk29-1.fna.fbcdn.net/v/t51.2885-19/432753700_3658992531013588_5229225992163583658_n.jpg?stp=dst-jpg_e0_s150x150&_nc_ht=instagram.fcgk29-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=N8JdgH-e_UQAb7o0yEA&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfA4KkQb5cPV0j-jmECnh-6mUua89TSdNm1MVXo6kx7Aaw&oe=661410B8&_nc_sid=f5838a;ptsan,mtimamu;banggai
@info.luwuk;3334582759212790850_5907861760;17938772273808594;17938772273808594;Semangat adik” 🔥;Semangat adik” 🔥;Sat Mar 30 2024 15:46:25 GMT+0700 (Western Indonesia Time);apynibadi;;https://instagram.fcgk29-1.fna.fbcdn.net/v/t51.2885-19/428584305_1049842886087965_3248710908954885002_n.jpg?stp=dst-jpg_e0_s150x150&_nc_ht=instagram.fcgk29-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=TS5VXUX3kSsAb6wYuOT&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfAXXx9ObnC1dJEEG_ecFhTXC9rZoawttrTYW0UQoH7u7g&oe=6613FEBF&_nc_sid=f5838a;semangat,adik;banggai
@info.luwuk;3334582759212790850_5907861760;18028064311949623;18028064311949623;luv banget @innabagenda 🔥🔥🔥;luv banget @innabagenda 🔥🔥🔥;Sat Mar 30 2024 14:37:21 GMT+0700 (Western Indonesia Time);hestiianaaa;;https://instagram.fcgk29-1.fna.fbcdn.net/v/t51.2885-19/420029545_861528852418602_3577656554634392365_n.jpg?stp=dst-jpg_e0_s150x150&_nc_ht=instagram.fcgk29-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=d8QY4tbHxTAAb7O-PR6&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfC5xP9sjsHQXL0j-oWjGr0uipd5P9T9DCZ3vpMv4YFaKg&oe=6614057A&_nc_sid=f5838a;luv,innabagenda;banggai
@info.luwuk;3334582759212790850_5907861760;17902089761960490;17902089761960490;Makasih min sdh menjadi perantara dalam kebaikan 🙏🏻;Makasih min sdh menjadi perantara dalam kebaikan 🙏🏻;Sat Mar 30 2024 03:21:57 GMT+0700 (Western Indonesia Time);innabagenda;;https://instagram.fcgk30-1.fna.fbcdn.net/v/t51.2885-19/332696847_3424100377834961_5906224281123223256_n.jpg?stp=dst-jpg_e0_s150x150&_nc_ht=instagram.fcgk30-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=2z9ZTXrINWoAb4H_tch&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfATcECJknyoDIgJ_-M6r8yg8rm3lpVN1dQB7xPTe25cAQ&oe=6613FDD7&_nc_sid=f5838a;makasih,sdh,perantara,kebaikan;banggai
@info.luwuk;3334582759212790850_5907861760;18021866968927090;18021866968927090;Desa minanga balut juga sama😢;Desa minanga balut juga sama😢;Sat Mar 30 2024 01:54:47 GMT+0700 (Western Indonesia Time);arie_zunnurain;;https://instagram.fcgk30-1.fna.fbcdn.net/v/t51.2885-19/308399059_1316472742456079_778397539818612807_n.jpg?stp=dst-jpg_e0_s150x150&_nc_ht=instagram.fcgk30-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=Z8vVrhJWkZoAb56TF5X&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfCuj1WKqPdnhJG_XEI6OXDVO8UaheIQYyZ3aanpmM0h_Q&oe=6613F974&_nc_sid=f5838a;desa,minanga,balut;banggai
@info.luwuk;3330743587217947170_5907861760;17978335271657539;17978335271657539;Kapan kejadian ini min..??;Kapan kejadian ini min..??;Sun Mar 24 2024 18:02:59 GMT+0700 (Western Indonesia Time);mr.iksan_abdul_azis;;https://instagram.fcgk30-1.fna.fbcdn.net/v/t51.2885-19/428585554_853818309762752_44439935736305553_n.jpg?stp=dst-jpg_e0_s150x150&_nc_ht=instagram.fcgk30-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=diDUrmQveq4Ab48HiF8&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfCe6-Txra2kEDuMtunoYrH7wD4G_gYwI-SMK_SzEPxqOw&oe=66140C70&_nc_sid=f5838a;kejadian;banggai
@info.luwuk;3330743587217947170_5907861760;18043507315676721;18043507315676721;Semoga korban selamat sehat wal afiat;Semoga korban selamat sehat wal afiat;Sun Mar 24 2024 17:26:28 GMT+0700 (Western Indonesia Time);niy30;;https://instagram.fcgk29-1.fna.fbcdn.net/v/t51.2885-19/432759495_1590218335108098_8563000514643415891_n.jpg?stp=dst-jpg_e0_s150x150&_nc_ht=instagram.fcgk29-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=oQKR7H9s5o0Ab7prMlT&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfCgnFLS9U2ZTwQi_DiMlOPto8dqW_m3ORHl3FH_3eRHHw&oe=6613F282&_nc_sid=f5838a;semoga,korban,selamat,sehat,wal,afiat;banggai
@info.luwuk;3330743587217947170_5907861760;18058101757497861;18058101757497861;Bukan kapal nelayan...kapal penumpang;Bukan kapal nelayan...kapal penumpang;Sun Mar 24 2024 18:49:59 GMT+0700 (Western Indonesia Time);hendri_juliar;;https://instagram.fcgk30-1.fna.fbcdn.net/v/t51.2885-19/433974164_178922251981028_843888778826710159_n.jpg?stp=dst-jpg_e0_s150x150&_nc_ht=instagram.fcgk30-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=qP97rQHxX_wAb7zcBoy&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfCDm-hievsjBS6v2LLoZivaebKQ1yTiC1M_k6ME-MFluA&oe=6613F793&_nc_sid=f5838a;kapal,nelayan,penumpang;banggai
@info.luwuk;3330743587217947170_5907861760;17958417596736435;17958417596736435;Dpe captionnya tu salah. Kase baek dlu ba kse info;Dpe captionnya tu salah. Kase baek dlu ba kse info;Tue Mar 26 2024 05:51:54 GMT+0700 (Western Indonesia Time);pur_zzz7;;https://instagram.fcgk30-1.fna.fbcdn.net/v/t51.2885-19/221375158_2956117024626713_7124267931023963371_n.jpg?stp=dst-jpg_e0_s150x150&_nc_ht=instagram.fcgk30-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=8srBldC8KcIAb4LN166&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfB_cqA5pai382vn6MiDoCDou0V0X1O7-uiYI_S4R68FeQ&oe=6613F335&_nc_sid=f5838a;dpe,captionnya,tu,salah,kase,baek,dlu,ba,kse,info;banggai
@info.luwuk;3330743587217947170_5907861760;18017699129154973;18017699129154973;@info.luwuk bukan kapal nelayan kk,tpi kapal barang dn penumpang brjumlah 20orng allhamdulillah selamat semua🙏;@info.luwuk bukan kapal nelayan ke,tpi kapal barang dan penumpang brjumlah 20orng allhamdulillah selamat semua🙏;Sun Mar 24 2024 20:32:29 GMT+0700 (Western Indonesia Time);hrdntyanchan_016;;https://instagram.fcgk30-1.fna.fbcdn.net/v/t51.2885-19/417221906_387744980297782_1239737175958799233_n.jpg?stp=dst-jpg_e0_s150x150&_nc_ht=instagram.fcgk30-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=WGaMwhzqLyUAb4SjWE0&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AfATor1F9Rd5yoO8u2xQNTF3HVhlOSVFv35D0ZbMiuwmgA&oe=66141466&_nc_sid=f5838a;info,luwuk,kapal,nelayan,tpi,barang,penumpang,brjumlah,20orng,allhamdulillah,selamat;banggai
